# m,p,t,C_l
5.999999999999999778e-02,1.000000000000000056e-01,1.150000000000000050e-01,3.005148470401763916e-02
5.999999999999999778e-02,1.000000000000000056e-01,2.099999999999999922e-01,1.307894382625818253e-02
5.999999999999999778e-02,1.000000000000000056e-01,3.050000000000000488e-01,3.204930201172828674e-02
5.999999999999999778e-02,1.000000000000000056e-01,4.000000000000000222e-01,5.857153609395027161e-02
5.999999999999999778e-02,2.250000000000000056e-01,2.000000000000000042e-02,3.137632505968213081e-03
5.999999999999999778e-02,2.250000000000000056e-01,1.150000000000000050e-01,1.536902692168951035e-02
5.999999999999999778e-02,2.250000000000000056e-01,2.099999999999999922e-01,1.495851017534732819e-02
5.999999999999999778e-02,2.250000000000000056e-01,3.050000000000000488e-01,2.101314067840576172e-02
5.999999999999999778e-02,2.250000000000000056e-01,4.000000000000000222e-01,2.755878865718841553e-02
5.999999999999999778e-02,3.499999999999999778e-01,2.000000000000000042e-02,2.621635794639587402e-02
5.999999999999999778e-02,3.499999999999999778e-01,1.150000000000000050e-01,1.225614268332719803e-02
5.999999999999999778e-02,3.499999999999999778e-01,2.099999999999999922e-01,1.515254843980073929e-02
5.999999999999999778e-02,3.499999999999999778e-01,3.050000000000000488e-01,2.026998437941074371e-02
5.999999999999999778e-02,3.499999999999999778e-01,4.000000000000000222e-01,2.647849544882774353e-02
5.999999999999999778e-02,4.749999999999999778e-01,2.000000000000000042e-02,1.713970862329006195e-02
5.999999999999999778e-02,4.749999999999999778e-01,1.150000000000000050e-01,6.295810919255018234e-03
5.999999999999999778e-02,4.749999999999999778e-01,2.099999999999999922e-01,1.462376024574041367e-02
5.999999999999999778e-02,4.749999999999999778e-01,3.050000000000000488e-01,1.929418556392192841e-02
5.999999999999999778e-02,4.749999999999999778e-01,4.000000000000000222e-01,2.543376572430133820e-02
5.999999999999999778e-02,5.999999999999999778e-01,2.000000000000000042e-02,7.995404303073883057e-03
5.999999999999999778e-02,5.999999999999999778e-01,1.150000000000000050e-01,-8.574957028031349182e-03
5.999999999999999778e-02,5.999999999999999778e-01,2.099999999999999922e-01,1.470038481056690216e-02
5.999999999999999778e-02,5.999999999999999778e-01,3.050000000000000488e-01,1.908695138990879059e-02
5.999999999999999778e-02,5.999999999999999778e-01,4.000000000000000222e-01,2.484157308936119080e-02
8.000000000000000167e-02,1.000000000000000056e-01,2.000000000000000042e-02,1.340116746723651886e-02
8.000000000000000167e-02,1.000000000000000056e-01,1.150000000000000050e-01,2.717818692326545715e-02
8.000000000000000167e-02,1.000000000000000056e-01,2.099999999999999922e-01,1.493085268884897232e-02
8.000000000000000167e-02,1.000000000000000056e-01,3.050000000000000488e-01,3.129498660564422607e-02
8.000000000000000167e-02,1.000000000000000056e-01,4.000000000000000222e-01,6.390635669231414795e-02
8.000000000000000167e-02,2.250000000000000056e-01,2.000000000000000042e-02,5.183339584618806839e-03
8.000000000000000167e-02,2.250000000000000056e-01,1.150000000000000050e-01,1.039565168321132660e-02
8.000000000000000167e-02,2.250000000000000056e-01,2.099999999999999922e-01,1.253572572022676468e-02
8.000000000000000167e-02,2.250000000000000056e-01,3.050000000000000488e-01,1.887770369648933411e-02
8.000000000000000167e-02,2.250000000000000056e-01,4.000000000000000222e-01,2.616918273270130157e-02
8.000000000000000167e-02,3.499999999999999778e-01,2.000000000000000042e-02,1.126396469771862030e-02
8.000000000000000167e-02,3.499999999999999778e-01,1.150000000000000050e-01,5.164757836610078812e-03
8.000000000000000167e-02,3.499999999999999778e-01,2.099999999999999922e-01,1.334547623991966248e-02
8.000000000000000167e-02,3.499999999999999778e-01,3.050000000000000488e-01,1.880716718733310699e-02
8.000000000000000167e-02,3.499999999999999778e-01,4.000000000000000222e-01,2.530932798981666565e-02
8.000000000000000167e-02,4.749999999999999778e-01,2.000000000000000042e-02,1.126423943787813187e-02
8.000000000000000167e-02,4.749999999999999778e-01,1.150000000000000050e-01,-6.758996751159429550e-03
8.000000000000000167e-02,4.749999999999999778e-01,2.099999999999999922e-01,1.420326437801122665e-02
8.000000000000000167e-02,4.749999999999999778e-01,3.050000000000000488e-01,1.860929280519485474e-02
8.000000000000000167e-02,4.749999999999999778e-01,4.000000000000000222e-01,2.513948827981948853e-02
8.000000000000000167e-02,5.999999999999999778e-01,2.000000000000000042e-02,1.777582615613937378e-02
8.000000000000000167e-02,5.999999999999999778e-01,1.150000000000000050e-01,7.919767498970031738e-02
8.000000000000000167e-02,5.999999999999999778e-01,2.099999999999999922e-01,1.557948440313339233e-02
8.000000000000000167e-02,5.999999999999999778e-01,3.050000000000000488e-01,1.862183026969432831e-02
8.000000000000000167e-02,5.999999999999999778e-01,4.000000000000000222e-01,2.452498301863670349e-02
1.000000000000000056e-01,1.000000000000000056e-01,2.000000000000000042e-02,-4.222878254950046539e-03
1.000000000000000056e-01,1.000000000000000056e-01,1.150000000000000050e-01,1.838553138077259064e-02
1.000000000000000056e-01,1.000000000000000056e-01,2.099999999999999922e-01,1.105467230081558228e-02
1.000000000000000056e-01,1.000000000000000056e-01,3.050000000000000488e-01,1.529090292751789093e-02
1.000000000000000056e-01,1.000000000000000056e-01,4.000000000000000222e-01,2.660154551267623901e-02
1.000000000000000056e-01,2.250000000000000056e-01,2.000000000000000042e-02,8.614209480583667755e-03
1.000000000000000056e-01,2.250000000000000056e-01,1.150000000000000050e-01,5.502780899405479431e-03
1.000000000000000056e-01,2.250000000000000056e-01,2.099999999999999922e-01,9.671647101640701294e-03
1.000000000000000056e-01,2.250000000000000056e-01,3.050000000000000488e-01,1.729141175746917725e-02
1.000000000000000056e-01,2.250000000000000056e-01,4.000000000000000222e-01,2.393066883087158203e-02
1.000000000000000056e-01,3.499999999999999778e-01,2.000000000000000042e-02,6.485811900347471237e-03
1.000000000000000056e-01,3.499999999999999778e-01,1.150000000000000050e-01,-2.351637929677963257e-03
1.000000000000000056e-01,3.499999999999999778e-01,2.099999999999999922e-01,1.137203350663185120e-02
1.000000000000000056e-01,3.499999999999999778e-01,3.050000000000000488e-01,1.722832396626472473e-02
1.000000000000000056e-01,3.499999999999999778e-01,4.000000000000000222e-01,2.392702177166938782e-02
1.000000000000000056e-01,4.749999999999999778e-01,2.000000000000000042e-02,1.241900119930505753e-02
1.000000000000000056e-01,4.749999999999999778e-01,1.150000000000000050e-01,2.525688707828521729e-01
1.000000000000000056e-01,4.749999999999999778e-01,2.099999999999999922e-01,1.327023748308420181e-02
1.000000000000000056e-01,4.749999999999999778e-01,3.050000000000000488e-01,1.768322102725505829e-02
1.000000000000000056e-01,4.749999999999999778e-01,4.000000000000000222e-01,2.423379011452198029e-02
1.000000000000000056e-01,5.999999999999999778e-01,2.000000000000000042e-02,8.671868592500686646e-03
1.000000000000000056e-01,5.999999999999999778e-01,1.150000000000000050e-01,1.214529760181903839e-02
1.000000000000000056e-01,5.999999999999999778e-01,2.099999999999999922e-01,1.547966431826353073e-02
1.000000000000000056e-01,5.999999999999999778e-01,3.050000000000000488e-01,1.784633100032806396e-02
1.000000000000000056e-01,5.999999999999999778e-01,4.000000000000000222e-01,2.436167933046817780e-02
