# m,p,t,C_l
2.000000000000000042e-02,1.000000000000000056e-01,2.000000000000000042e-02,1.204545050859451294e-02
2.000000000000000042e-02,1.000000000000000056e-01,7.428571428571428825e-02,2.404483780264854431e-02
2.000000000000000042e-02,1.000000000000000056e-01,1.285714285714285587e-01,5.677153170108795166e-02
2.000000000000000042e-02,1.000000000000000056e-01,1.828571428571428570e-01,1.872780732810497284e-02
2.000000000000000042e-02,1.000000000000000056e-01,2.371428571428571275e-01,2.221373654901981354e-02
2.000000000000000042e-02,1.000000000000000056e-01,2.914285714285714257e-01,2.545725181698799133e-02
2.000000000000000042e-02,1.000000000000000056e-01,3.457142857142857517e-01,2.894849143922328949e-02
2.000000000000000042e-02,1.000000000000000056e-01,4.000000000000000222e-01,3.219062089920043945e-02
2.000000000000000042e-02,1.714285714285714302e-01,2.000000000000000042e-02,1.951529458165168762e-02
2.000000000000000042e-02,1.714285714285714302e-01,7.428571428571428825e-02,2.527350559830665588e-02
2.000000000000000042e-02,1.714285714285714302e-01,1.285714285714285587e-01,2.971207164227962494e-02
2.000000000000000042e-02,1.714285714285714302e-01,1.828571428571428570e-01,1.734723709523677826e-02
2.000000000000000042e-02,1.714285714285714302e-01,2.371428571428571275e-01,2.028798498213291168e-02
2.000000000000000042e-02,1.714285714285714302e-01,2.914285714285714257e-01,2.385190129280090332e-02
2.000000000000000042e-02,1.714285714285714302e-01,3.457142857142857517e-01,2.701646275818347931e-02
2.000000000000000042e-02,1.714285714285714302e-01,4.000000000000000222e-01,3.060478344559669495e-02
2.000000000000000042e-02,2.428571428571428548e-01,2.000000000000000042e-02,-3.481816267594695091e-03
2.000000000000000042e-02,2.428571428571428548e-01,7.428571428571428825e-02,2.692299894988536835e-02
2.000000000000000042e-02,2.428571428571428548e-01,1.285714285714285587e-01,2.854338102042675018e-02
2.000000000000000042e-02,2.428571428571428548e-01,1.828571428571428570e-01,1.556081324815750122e-02
2.000000000000000042e-02,2.428571428571428548e-01,2.371428571428571275e-01,1.880969665944576263e-02
2.000000000000000042e-02,2.428571428571428548e-01,2.914285714285714257e-01,2.162963151931762695e-02
2.000000000000000042e-02,2.428571428571428548e-01,3.457142857142857517e-01,2.457912079989910126e-02
2.000000000000000042e-02,2.428571428571428548e-01,4.000000000000000222e-01,2.849278599023818970e-02
2.000000000000000042e-02,3.142857142857142794e-01,2.000000000000000042e-02,-2.873728610575199127e-02
2.000000000000000042e-02,3.142857142857142794e-01,7.428571428571428825e-02,2.720331400632858276e-02
2.000000000000000042e-02,3.142857142857142794e-01,1.285714285714285587e-01,2.859336324036121368e-02
2.000000000000000042e-02,3.142857142857142794e-01,1.828571428571428570e-01,1.384232193231582642e-02
2.000000000000000042e-02,3.142857142857142794e-01,2.371428571428571275e-01,1.725624874234199524e-02
2.000000000000000042e-02,3.142857142857142794e-01,2.914285714285714257e-01,2.027176693081855774e-02
2.000000000000000042e-02,3.142857142857142794e-01,3.457142857142857517e-01,2.318952605128288269e-02
2.000000000000000042e-02,3.142857142857142794e-01,4.000000000000000222e-01,2.586649730801582336e-02
2.000000000000000042e-02,3.857142857142856762e-01,2.000000000000000042e-02,-2.830452471971511841e-02
2.000000000000000042e-02,3.857142857142856762e-01,7.428571428571428825e-02,2.864659205079078674e-02
2.000000000000000042e-02,3.857142857142856762e-01,1.285714285714285587e-01,2.976407669484615326e-02
2.000000000000000042e-02,3.857142857142856762e-01,1.828571428571428570e-01,1.100439205765724182e-02
2.000000000000000042e-02,3.857142857142856762e-01,2.371428571428571275e-01,1.556612551212310791e-02
2.000000000000000042e-02,3.857142857142856762e-01,2.914285714285714257e-01,1.888327859342098236e-02
2.000000000000000042e-02,3.857142857142856762e-01,3.457142857142857517e-01,2.207147516310214996e-02
2.000000000000000042e-02,3.857142857142856762e-01,4.000000000000000222e-01,2.513148635625839233e-02
2.000000000000000042e-02,4.571428571428570731e-01,2.000000000000000042e-02,-2.309452183544635773e-02
2.000000000000000042e-02,4.571428571428570731e-01,7.428571428571428825e-02,2.963758446276187897e-02
2.000000000000000042e-02,4.571428571428570731e-01,1.285714285714285587e-01,3.087623044848442078e-02
2.000000000000000042e-02,4.571428571428570731e-01,1.828571428571428570e-01,9.266303852200508118e-03
2.000000000000000042e-02,4.571428571428570731e-01,2.371428571428571275e-01,1.367516722530126572e-02
2.000000000000000042e-02,4.571428571428570731e-01,2.914285714285714257e-01,1.739321462810039520e-02
2.000000000000000042e-02,4.571428571428570731e-01,3.457142857142857517e-01,2.080023474991321564e-02
2.000000000000000042e-02,4.571428571428570731e-01,4.000000000000000222e-01,2.451756596565246582e-02
2.000000000000000042e-02,5.285714285714285809e-01,2.000000000000000042e-02,-2.152700722217559814e-02
2.000000000000000042e-02,5.285714285714285809e-01,7.428571428571428825e-02,3.030966594815254211e-02
2.000000000000000042e-02,5.285714285714285809e-01,1.285714285714285587e-01,2.880728058516979218e-02
2.000000000000000042e-02,5.285714285714285809e-01,1.828571428571428570e-01,8.257227949798107147e-03
2.000000000000000042e-02,5.285714285714285809e-01,2.371428571428571275e-01,1.100989058613777161e-02
2.000000000000000042e-02,5.285714285714285809e-01,2.914285714285714257e-01,1.617200858891010284e-02
2.000000000000000042e-02,5.285714285714285809e-01,3.457142857142857517e-01,1.945916377007961273e-02
2.000000000000000042e-02,5.285714285714285809e-01,4.000000000000000222e-01,2.303355932235717773e-02
2.000000000000000042e-02,5.999999999999999778e-01,2.000000000000000042e-02,-2.085287310183048248e-02
2.000000000000000042e-02,5.999999999999999778e-01,7.428571428571428825e-02,3.067995980381965637e-02
2.000000000000000042e-02,5.999999999999999778e-01,1.285714285714285587e-01,2.881850674748420715e-02
2.000000000000000042e-02,5.999999999999999778e-01,1.828571428571428570e-01,7.750614546239376068e-03
2.000000000000000042e-02,5.999999999999999778e-01,2.371428571428571275e-01,9.650101885199546814e-03
2.000000000000000042e-02,5.999999999999999778e-01,2.914285714285714257e-01,1.297510974109172821e-02
2.000000000000000042e-02,5.999999999999999778e-01,3.457142857142857517e-01,1.836480014026165009e-02
2.000000000000000042e-02,5.999999999999999778e-01,4.000000000000000222e-01,2.168974094092845917e-02
3.142857142857143071e-02,1.000000000000000056e-01,2.000000000000000042e-02,-2.187540940940380096e-02
3.142857142857143071e-02,1.000000000000000056e-01,7.428571428571428825e-02,2.527542039752006531e-02
3.142857142857143071e-02,1.000000000000000056e-01,1.285714285714285587e-01,-5.195789504796266556e-03
3.142857142857143071e-02,1.000000000000000056e-01,1.828571428571428570e-01,1.726200617849826813e-02
3.142857142857143071e-02,1.000000000000000056e-01,2.371428571428571275e-01,2.090787701308727264e-02
3.142857142857143071e-02,1.000000000000000056e-01,2.914285714285714257e-01,2.378205023705959320e-02
3.142857142857143071e-02,1.000000000000000056e-01,3.457142857142857517e-01,2.639432065188884735e-02
3.142857142857143071e-02,1.000000000000000056e-01,4.000000000000000222e-01,3.008642420172691345e-02
3.142857142857143071e-02,1.714285714285714302e-01,2.000000000000000042e-02,-2.130045183002948761e-02
3.142857142857143071e-02,1.714285714285714302e-01,7.428571428571428825e-02,2.536979317665100098e-02
3.142857142857143071e-02,1.714285714285714302e-01,1.285714285714285587e-01,4.884783923625946045e-02
3.142857142857143071e-02,1.714285714285714302e-01,1.828571428571428570e-01,1.673838682472705841e-02
3.142857142857143071e-02,1.714285714285714302e-01,2.371428571428571275e-01,2.004044130444526672e-02
3.142857142857143071e-02,1.714285714285714302e-01,2.914285714285714257e-01,2.390374429523944855e-02
3.142857142857143071e-02,1.714285714285714302e-01,3.457142857142857517e-01,2.748579904437065125e-02
3.142857142857143071e-02,1.714285714285714302e-01,4.000000000000000222e-01,3.170279040932655334e-02
3.142857142857143071e-02,2.428571428571428548e-01,2.000000000000000042e-02,-2.227693982422351837e-02
3.142857142857143071e-02,2.428571428571428548e-01,7.428571428571428825e-02,2.627250552177429199e-02
3.142857142857143071e-02,2.428571428571428548e-01,1.285714285714285587e-01,3.334455192089080811e-02
3.142857142857143071e-02,2.428571428571428548e-01,1.828571428571428570e-01,1.581528969109058380e-02
3.142857142857143071e-02,2.428571428571428548e-01,2.371428571428571275e-01,1.906118169426918030e-02
3.142857142857143071e-02,2.428571428571428548e-01,2.914285714285714257e-01,2.209317311644554138e-02
3.142857142857143071e-02,2.428571428571428548e-01,3.457142857142857517e-01,2.548439241945743561e-02
3.142857142857143071e-02,2.428571428571428548e-01,4.000000000000000222e-01,2.896887250244617462e-02
3.142857142857143071e-02,3.142857142857142794e-01,2.000000000000000042e-02,-2.255021408200263977e-02
3.142857142857143071e-02,3.142857142857142794e-01,7.428571428571428825e-02,2.723998390138149261e-02
3.142857142857143071e-02,3.142857142857142794e-01,1.285714285714285587e-01,3.013239800930023193e-02
3.142857142857143071e-02,3.142857142857142794e-01,1.828571428571428570e-01,1.477133389562368393e-02
3.142857142857143071e-02,3.142857142857142794e-01,2.371428571428571275e-01,1.781698502600193024e-02
3.142857142857143071e-02,3.142857142857142794e-01,2.914285714285714257e-01,2.128534205257892609e-02
3.142857142857143071e-02,3.142857142857142794e-01,3.457142857142857517e-01,2.445728145539760590e-02
3.142857142857143071e-02,3.142857142857142794e-01,4.000000000000000222e-01,2.707194723188877106e-02
3.142857142857143071e-02,3.857142857142856762e-01,2.000000000000000042e-02,-2.397194877266883850e-02
3.142857142857143071e-02,3.857142857142856762e-01,7.428571428571428825e-02,2.807546965777873993e-02
3.142857142857143071e-02,3.857142857142856762e-01,1.285714285714285587e-01,2.859282493591308594e-02
3.142857142857143071e-02,3.857142857142856762e-01,1.828571428571428570e-01,1.357852760702371597e-02
3.142857142857143071e-02,3.857142857142856762e-01,2.371428571428571275e-01,1.709877699613571167e-02
3.142857142857143071e-02,3.857142857142856762e-01,2.914285714285714257e-01,1.962209679186344147e-02
3.142857142857143071e-02,3.857142857142856762e-01,3.457142857142857517e-01,2.336521632969379425e-02
3.142857142857143071e-02,3.857142857142856762e-01,4.000000000000000222e-01,2.675253152847290039e-02
3.142857142857143071e-02,4.571428571428570731e-01,2.000000000000000042e-02,-6.487936712801456451e-03
3.142857142857143071e-02,4.571428571428570731e-01,7.428571428571428825e-02,2.874174714088439941e-02
3.142857142857143071e-02,4.571428571428570731e-01,1.285714285714285587e-01,2.651180140674114227e-02
3.142857142857143071e-02,4.571428571428570731e-01,1.828571428571428570e-01,1.245700847357511520e-02
3.142857142857143071e-02,4.571428571428570731e-01,2.371428571428571275e-01,1.652101054787635803e-02
3.142857142857143071e-02,4.571428571428570731e-01,2.914285714285714257e-01,1.900927722454071045e-02
3.142857142857143071e-02,4.571428571428570731e-01,3.457142857142857517e-01,2.153009362518787384e-02
3.142857142857143071e-02,4.571428571428570731e-01,4.000000000000000222e-01,2.564874477684497833e-02
3.142857142857143071e-02,5.285714285714285809e-01,2.000000000000000042e-02,-1.483089663088321686e-02
3.142857142857143071e-02,5.285714285714285809e-01,7.428571428571428825e-02,3.016021475195884705e-02
3.142857142857143071e-02,5.285714285714285809e-01,1.285714285714285587e-01,2.376839146018028259e-02
3.142857142857143071e-02,5.285714285714285809e-01,1.828571428571428570e-01,1.163516100496053696e-02
3.142857142857143071e-02,5.285714285714285809e-01,2.371428571428571275e-01,1.495933905243873596e-02
3.142857142857143071e-02,5.285714285714285809e-01,2.914285714285714257e-01,1.861474663019180298e-02
3.142857142857143071e-02,5.285714285714285809e-01,3.457142857142857517e-01,2.073019742965698242e-02
3.142857142857143071e-02,5.285714285714285809e-01,4.000000000000000222e-01,2.392362058162689209e-02
3.142857142857143071e-02,5.999999999999999778e-01,2.000000000000000042e-02,-1.237368118017911911e-02
3.142857142857143071e-02,5.999999999999999778e-01,7.428571428571428825e-02,3.413000330328941345e-02
3.142857142857143071e-02,5.999999999999999778e-01,1.285714285714285587e-01,1.899278350174427032e-02
3.142857142857143071e-02,5.999999999999999778e-01,1.828571428571428570e-01,9.438404813408851624e-03
3.142857142857143071e-02,5.999999999999999778e-01,2.371428571428571275e-01,1.403846871107816696e-02
3.142857142857143071e-02,5.999999999999999778e-01,2.914285714285714257e-01,1.739292964339256287e-02
3.142857142857143071e-02,5.999999999999999778e-01,3.457142857142857517e-01,2.038238756358623505e-02
3.142857142857143071e-02,5.999999999999999778e-01,4.000000000000000222e-01,2.292592450976371765e-02
4.285714285714285754e-02,1.000000000000000056e-01,2.000000000000000042e-02,-3.106753341853618622e-02
4.285714285714285754e-02,1.000000000000000056e-01,7.428571428571428825e-02,2.352038770914077759e-02
4.285714285714285754e-02,1.000000000000000056e-01,1.285714285714285587e-01,8.847396238707005978e-04
4.285714285714285754e-02,1.000000000000000056e-01,1.828571428571428570e-01,1.529849879443645477e-02
4.285714285714285754e-02,1.000000000000000056e-01,2.371428571428571275e-01,1.834701187908649445e-02
4.285714285714285754e-02,1.000000000000000056e-01,2.914285714285714257e-01,2.129267714917659760e-02
4.285714285714285754e-02,1.000000000000000056e-01,3.457142857142857517e-01,2.984684891998767853e-02
4.285714285714285754e-02,1.000000000000000056e-01,4.000000000000000222e-01,4.683487117290496826e-02
4.285714285714285754e-02,1.714285714285714302e-01,2.000000000000000042e-02,-2.721944451332092285e-02
4.285714285714285754e-02,1.714285714285714302e-01,7.428571428571428825e-02,2.372362092137336731e-02
4.285714285714285754e-02,1.714285714285714302e-01,1.285714285714285587e-01,-3.802101612091064453e-01
4.285714285714285754e-02,1.714285714285714302e-01,1.828571428571428570e-01,1.530756894499063492e-02
4.285714285714285754e-02,1.714285714285714302e-01,2.371428571428571275e-01,1.935286819934844971e-02
4.285714285714285754e-02,1.714285714285714302e-01,2.914285714285714257e-01,2.322132885456085205e-02
4.285714285714285754e-02,1.714285714285714302e-01,3.457142857142857517e-01,2.709318883717060089e-02
4.285714285714285754e-02,1.714285714285714302e-01,4.000000000000000222e-01,3.126588836312294006e-02
4.285714285714285754e-02,2.428571428571428548e-01,2.000000000000000042e-02,-3.291576355695724487e-02
4.285714285714285754e-02,2.428571428571428548e-01,7.428571428571428825e-02,2.453519217669963837e-02
4.285714285714285754e-02,2.428571428571428548e-01,1.285714285714285587e-01,3.723658993840217590e-02
4.285714285714285754e-02,2.428571428571428548e-01,1.828571428571428570e-01,1.512292865663766861e-02
