# m,p,t,C_l
2.000000000000000042e-02,1.000000000000000056e-01,2.000000000000000042e-02,1.204545050859451294e-02
2.000000000000000042e-02,1.000000000000000056e-01,6.222222222222222043e-02,-3.921882808208465576e-01
2.000000000000000042e-02,1.000000000000000056e-01,1.044444444444444509e-01,1.979612931609153748e-02
2.000000000000000042e-02,1.000000000000000056e-01,1.466666666666666674e-01,1.487345993518829346e-02
2.000000000000000042e-02,1.000000000000000056e-01,1.888888888888888840e-01,1.915818639099597931e-02
2.000000000000000042e-02,1.000000000000000056e-01,2.311111111111111005e-01,2.180100791156291962e-02
2.000000000000000042e-02,1.000000000000000056e-01,2.733333333333333726e-01,2.445429749786853790e-02
2.000000000000000042e-02,1.000000000000000056e-01,3.155555555555555891e-01,2.667999826371669769e-02
2.000000000000000042e-02,1.000000000000000056e-01,3.577777777777778057e-01,2.966441959142684937e-02
2.000000000000000042e-02,1.000000000000000056e-01,4.000000000000000222e-01,3.219062089920043945e-02
2.000000000000000042e-02,1.555555555555555580e-01,2.000000000000000042e-02,2.028586529195308685e-02
2.000000000000000042e-02,1.555555555555555580e-01,6.222222222222222043e-02,7.930229604244232178e-02
2.000000000000000042e-02,1.555555555555555580e-01,1.044444444444444509e-01,2.001969143748283386e-02
2.000000000000000042e-02,1.555555555555555580e-01,1.466666666666666674e-01,1.189340278506278992e-02
2.000000000000000042e-02,1.555555555555555580e-01,1.888888888888888840e-01,1.800120808184146881e-02
2.000000000000000042e-02,1.555555555555555580e-01,2.311111111111111005e-01,2.019167877733707428e-02
2.000000000000000042e-02,1.555555555555555580e-01,2.733333333333333726e-01,2.295950241386890411e-02
2.000000000000000042e-02,1.555555555555555580e-01,3.155555555555555891e-01,2.547599375247955322e-02
2.000000000000000042e-02,1.555555555555555580e-01,3.577777777777778057e-01,2.781408652663230896e-02
2.000000000000000042e-02,1.555555555555555580e-01,4.000000000000000222e-01,3.108690492808818817e-02
2.000000000000000042e-02,2.111111111111111105e-01,2.000000000000000042e-02,1.003303844481706619e-02
2.000000000000000042e-02,2.111111111111111105e-01,6.222222222222222043e-02,7.184243202209472656e-02
2.000000000000000042e-02,2.111111111111111105e-01,1.044444444444444509e-01,2.021260932087898254e-02
2.000000000000000042e-02,2.111111111111111105e-01,1.466666666666666674e-01,8.104578591883182526e-03
2.000000000000000042e-02,2.111111111111111105e-01,1.888888888888888840e-01,1.695393957197666168e-02
2.000000000000000042e-02,2.111111111111111105e-01,2.311111111111111005e-01,1.921810954809188843e-02
2.000000000000000042e-02,2.111111111111111105e-01,2.733333333333333726e-01,2.111728861927986145e-02
2.000000000000000042e-02,2.111111111111111105e-01,3.155555555555555891e-01,2.382745593786239624e-02
2.000000000000000042e-02,2.111111111111111105e-01,3.577777777777778057e-01,2.695447765290737152e-02
2.000000000000000042e-02,2.111111111111111105e-01,4.000000000000000222e-01,2.903906255960464478e-02
2.000000000000000042e-02,2.666666666666666630e-01,2.000000000000000042e-02,-1.434800308197736740e-02
2.000000000000000042e-02,2.666666666666666630e-01,6.222222222222222043e-02,5.556594207882881165e-02
2.000000000000000042e-02,2.666666666666666630e-01,1.044444444444444509e-01,2.057290077209472656e-02
2.000000000000000042e-02,2.666666666666666630e-01,1.466666666666666674e-01,5.212046205997467041e-03
2.000000000000000042e-02,2.666666666666666630e-01,1.888888888888888840e-01,1.531220972537994385e-02
2.000000000000000042e-02,2.666666666666666630e-01,2.311111111111111005e-01,1.824529841542243958e-02
2.000000000000000042e-02,2.666666666666666630e-01,2.733333333333333726e-01,2.015377022325992584e-02
2.000000000000000042e-02,2.666666666666666630e-01,3.155555555555555891e-01,2.228377573192119598e-02
2.000000000000000042e-02,2.666666666666666630e-01,3.577777777777778057e-01,2.430805191397666931e-02
2.000000000000000042e-02,2.666666666666666630e-01,4.000000000000000222e-01,2.769127674400806427e-02
2.000000000000000042e-02,3.222222222222221877e-01,2.000000000000000042e-02,-2.973609231412410736e-02
2.000000000000000042e-02,3.222222222222221877e-01,6.222222222222222043e-02,5.869114026427268982e-02
2.000000000000000042e-02,3.222222222222221877e-01,1.044444444444444509e-01,2.119223959743976593e-02
2.000000000000000042e-02,3.222222222222221877e-01,1.466666666666666674e-01,-1.178693026304244995e-03
2.000000000000000042e-02,3.222222222222221877e-01,1.888888888888888840e-01,1.413978915661573410e-02
2.000000000000000042e-02,3.222222222222221877e-01,2.311111111111111005e-01,1.665480248630046844e-02
2.000000000000000042e-02,3.222222222222221877e-01,2.733333333333333726e-01,1.955894939601421356e-02
2.000000000000000042e-02,3.222222222222221877e-01,3.155555555555555891e-01,2.136167511343955994e-02
2.000000000000000042e-02,3.222222222222221877e-01,3.577777777777778057e-01,2.376730553805828094e-02
2.000000000000000042e-02,3.222222222222221877e-01,4.000000000000000222e-01,2.564371190965175629e-02
2.000000000000000042e-02,3.777777777777777679e-01,2.000000000000000042e-02,-2.897232398390769958e-02
2.000000000000000042e-02,3.777777777777777679e-01,6.222222222222222043e-02,6.088466569781303406e-02
2.000000000000000042e-02,3.777777777777777679e-01,1.044444444444444509e-01,2.178304642438888550e-02
2.000000000000000042e-02,3.777777777777777679e-01,1.466666666666666674e-01,-5.554648116230964661e-03
2.000000000000000042e-02,3.777777777777777679e-01,1.888888888888888840e-01,1.201980095356702805e-02
2.000000000000000042e-02,3.777777777777777679e-01,2.311111111111111005e-01,1.537815108895301819e-02
2.000000000000000042e-02,3.777777777777777679e-01,2.733333333333333726e-01,1.794170029461383820e-02
2.000000000000000042e-02,3.777777777777777679e-01,3.155555555555555891e-01,2.086437866091728210e-02
2.000000000000000042e-02,3.777777777777777679e-01,3.577777777777778057e-01,2.279087714850902557e-02
2.000000000000000042e-02,3.777777777777777679e-01,4.000000000000000222e-01,2.521818131208419800e-02
2.000000000000000042e-02,4.333333333333333481e-01,2.000000000000000042e-02,-2.442578598856925964e-02
2.000000000000000042e-02,4.333333333333333481e-01,6.222222222222222043e-02,6.256215274333953857e-02
2.000000000000000042e-02,4.333333333333333481e-01,1.044444444444444509e-01,1.930991746485233307e-02
2.000000000000000042e-02,4.333333333333333481e-01,1.466666666666666674e-01,-8.768325671553611755e-03
2.000000000000000042e-02,4.333333333333333481e-01,1.888888888888888840e-01,1.023903861641883850e-02
2.000000000000000042e-02,4.333333333333333481e-01,2.311111111111111005e-01,1.419917400926351547e-02
2.000000000000000042e-02,4.333333333333333481e-01,2.733333333333333726e-01,1.675990223884582520e-02
2.000000000000000042e-02,4.333333333333333481e-01,3.155555555555555891e-01,1.923145167529582977e-02
2.000000000000000042e-02,4.333333333333333481e-01,3.577777777777778057e-01,2.246399223804473877e-02
2.000000000000000042e-02,4.333333333333333481e-01,4.000000000000000222e-01,2.467571943998336792e-02
2.000000000000000042e-02,4.888888888888888173e-01,2.000000000000000042e-02,-2.205597795546054840e-02
2.000000000000000042e-02,4.888888888888888173e-01,6.222222222222222043e-02,6.393609195947647095e-02
2.000000000000000042e-02,4.888888888888888173e-01,1.044444444444444509e-01,1.992756314575672150e-02
2.000000000000000042e-02,4.888888888888888173e-01,1.466666666666666674e-01,-1.121752988547086716e-02
2.000000000000000042e-02,4.888888888888888173e-01,1.888888888888888840e-01,9.183917194604873657e-03
2.000000000000000042e-02,4.888888888888888173e-01,2.311111111111111005e-01,1.175542362034320831e-02
2.000000000000000042e-02,4.888888888888888173e-01,2.733333333333333726e-01,1.581205055117607117e-02
2.000000000000000042e-02,4.888888888888888173e-01,3.155555555555555891e-01,1.830305345356464386e-02
2.000000000000000042e-02,4.888888888888888173e-01,3.577777777777778057e-01,2.085065096616744995e-02
2.000000000000000042e-02,4.888888888888888173e-01,4.000000000000000222e-01,2.424924261868000031e-02
2.000000000000000042e-02,5.444444444444443976e-01,2.000000000000000042e-02,-2.140446938574314117e-02
2.000000000000000042e-02,5.444444444444443976e-01,6.222222222222222043e-02,6.536497920751571655e-02
2.000000000000000042e-02,5.444444444444443976e-01,1.044444444444444509e-01,2.019373700022697449e-02
2.000000000000000042e-02,5.444444444444443976e-01,1.466666666666666674e-01,-9.434214979410171509e-02
2.000000000000000042e-02,5.444444444444443976e-01,1.888888888888888840e-01,8.485279977321624756e-03
2.000000000000000042e-02,5.444444444444443976e-01,2.311111111111111005e-01,1.035559363663196564e-02
2.000000000000000042e-02,5.444444444444443976e-01,2.733333333333333726e-01,1.345386076718568802e-02
2.000000000000000042e-02,5.444444444444443976e-01,3.155555555555555891e-01,1.735792867839336395e-02
2.000000000000000042e-02,5.444444444444443976e-01,3.577777777777778057e-01,1.995792984962463379e-02
2.000000000000000042e-02,5.444444444444443976e-01,4.000000000000000222e-01,2.259865589439868927e-02
2.000000000000000042e-02,5.999999999999999778e-01,2.000000000000000042e-02,-2.085287310183048248e-02
2.000000000000000042e-02,5.999999999999999778e-01,6.222222222222222043e-02,6.781984120607376099e-02
2.000000000000000042e-02,5.999999999999999778e-01,1.044444444444444509e-01,2.002084627747535706e-02
2.000000000000000042e-02,5.999999999999999778e-01,1.466666666666666674e-01,-1.096389517188072205e-01
2.000000000000000042e-02,5.999999999999999778e-01,1.888888888888888840e-01,8.098201826214790344e-03
2.000000000000000042e-02,5.999999999999999778e-01,2.311111111111111005e-01,9.426535107195377350e-03
2.000000000000000042e-02,5.999999999999999778e-01,2.733333333333333726e-01,1.150043774396181107e-02
2.000000000000000042e-02,5.999999999999999778e-01,3.155555555555555891e-01,1.568235829472541809e-02
2.000000000000000042e-02,5.999999999999999778e-01,3.577777777777778057e-01,1.908134110271930695e-02
2.000000000000000042e-02,5.999999999999999778e-01,4.000000000000000222e-01,2.168974094092845917e-02
2.888888888888888756e-02,1.000000000000000056e-01,2.000000000000000042e-02,-5.396921187639236450e-03
2.888888888888888756e-02,1.000000000000000056e-01,6.222222222222222043e-02,-8.943857997655868530e-02
2.888888888888888756e-02,1.000000000000000056e-01,1.044444444444444509e-01,1.960785873234272003e-02
2.888888888888888756e-02,1.000000000000000056e-01,1.466666666666666674e-01,1.386931166052818298e-02
2.888888888888888756e-02,1.000000000000000056e-01,1.888888888888888840e-01,1.811783388257026672e-02
2.888888888888888756e-02,1.000000000000000056e-01,2.311111111111111005e-01,2.070880122482776642e-02
2.888888888888888756e-02,1.000000000000000056e-01,2.733333333333333726e-01,2.330186776816844940e-02
2.888888888888888756e-02,1.000000000000000056e-01,3.155555555555555891e-01,2.563942223787307739e-02
2.888888888888888756e-02,1.000000000000000056e-01,3.577777777777778057e-01,2.769821882247924805e-02
2.888888888888888756e-02,1.000000000000000056e-01,4.000000000000000222e-01,3.046746179461479187e-02
2.888888888888888756e-02,1.555555555555555580e-01,2.000000000000000042e-02,-3.351952135562896729e-02
2.888888888888888756e-02,1.555555555555555580e-01,6.222222222222222043e-02,1.299391090869903564e-01
2.888888888888888756e-02,1.555555555555555580e-01,1.044444444444444509e-01,1.976922340691089630e-02
2.888888888888888756e-02,1.555555555555555580e-01,1.466666666666666674e-01,1.221869885921478271e-02
2.888888888888888756e-02,1.555555555555555580e-01,1.888888888888888840e-01,1.746907643973827362e-02
2.888888888888888756e-02,1.555555555555555580e-01,2.311111111111111005e-01,2.003137767314910889e-02
2.888888888888888756e-02,1.555555555555555580e-01,2.733333333333333726e-01,2.265908382833003998e-02
2.888888888888888756e-02,1.555555555555555580e-01,3.155555555555555891e-01,2.561513893306255341e-02
2.888888888888888756e-02,1.555555555555555580e-01,3.577777777777778057e-01,2.805454470217227936e-02
2.888888888888888756e-02,1.555555555555555580e-01,4.000000000000000222e-01,3.165553510189056396e-02
2.888888888888888756e-02,2.111111111111111105e-01,2.000000000000000042e-02,-2.370044775307178497e-02
2.888888888888888756e-02,2.111111111111111105e-01,6.222222222222222043e-02,7.672403007745742798e-02
2.888888888888888756e-02,2.111111111111111105e-01,1.044444444444444509e-01,1.998044736683368683e-02
2.888888888888888756e-02,2.111111111111111105e-01,1.466666666666666674e-01,1.013922132551670074e-02
2.888888888888888756e-02,2.111111111111111105e-01,1.888888888888888840e-01,1.652237214148044586e-02
2.888888888888888756e-02,2.111111111111111105e-01,2.311111111111111005e-01,1.934884674847126007e-02
2.888888888888888756e-02,2.111111111111111105e-01,2.733333333333333726e-01,2.188009768724441528e-02
2.888888888888888756e-02,2.111111111111111105e-01,3.155555555555555891e-01,2.409347705543041229e-02
2.888888888888888756e-02,2.111111111111111105e-01,3.577777777777778057e-01,2.703030593693256378e-02
2.888888888888888756e-02,2.111111111111111105e-01,4.000000000000000222e-01,2.977733872830867767e-02
2.888888888888888756e-02,2.666666666666666630e-01,2.000000000000000042e-02,-2.241718582808971405e-02
2.888888888888888756e-02,2.666666666666666630e-01,6.222222222222222043e-02,7.079830020666122437e-02
2.888888888888888756e-02,2.666666666666666630e-01,1.044444444444444509e-01,2.036540769040584564e-02
2.888888888888888756e-02,2.666666666666666630e-01,1.466666666666666674e-01,7.670765742659568787e-03
2.888888888888888756e-02,2.666666666666666630e-01,1.888888888888888840e-01,1.581720821559429169e-02
2.888888888888888756e-02,2.666666666666666630e-01,2.311111111111111005e-01,1.789724640548229218e-02
2.888888888888888756e-02,2.666666666666666630e-01,2.733333333333333726e-01,2.080150693655014038e-02
2.888888888888888756e-02,2.666666666666666630e-01,3.155555555555555891e-01,2.353014424443244934e-02
2.888888888888888756e-02,2.666666666666666630e-01,3.577777777777778057e-01,2.530149556696414948e-02
2.888888888888888756e-02,2.666666666666666630e-01,4.000000000000000222e-01,2.823030389845371246e-02
2.888888888888888756e-02,3.222222222222221877e-01,2.000000000000000042e-02,-2.222800254821777344e-02
2.888888888888888756e-02,3.222222222222221877e-01,6.222222222222222043e-02,6.872047483921051025e-02
2.888888888888888756e-02,3.222222222222221877e-01,1.044444444444444509e-01,2.014011144638061523e-02
2.888888888888888756e-02,3.222222222222221877e-01,1.466666666666666674e-01,4.603898152709007263e-03
2.888888888888888756e-02,3.222222222222221877e-01,1.888888888888888840e-01,1.535460725426673889e-02
2.888888888888888756e-02,3.222222222222221877e-01,2.311111111111111005e-01,1.747265271842479706e-02
2.888888888888888756e-02,3.222222222222221877e-01,2.733333333333333726e-01,1.939053088426589966e-02
2.888888888888888756e-02,3.222222222222221877e-01,3.155555555555555891e-01,2.236234024167060852e-02
2.888888888888888756e-02,3.222222222222221877e-01,3.577777777777778057e-01,2.489117346704006195e-02
2.888888888888888756e-02,3.222222222222221877e-01,4.000000000000000222e-01,2.723786793649196625e-02
2.888888888888888756e-02,3.777777777777777679e-01,2.000000000000000042e-02,-2.229988574981689453e-02
2.888888888888888756e-02,3.777777777777777679e-01,6.222222222222222043e-02,6.411275267601013184e-02
2.888888888888888756e-02,3.777777777777777679e-01,1.044444444444444509e-01,2.019402198493480682e-02
2.888888888888888756e-02,3.777777777777777679e-01,1.466666666666666674e-01,2.521893940865993500e-03
2.888888888888888756e-02,3.777777777777777679e-01,1.888888888888888840e-01,1.397742703557014465e-02
2.888888888888888756e-02,3.777777777777777679e-01,2.311111111111111005e-01,1.689264178276062012e-02
2.888888888888888756e-02,3.777777777777777679e-01,2.733333333333333726e-01,1.900635100901126862e-02
2.888888888888888756e-02,3.777777777777777679e-01,3.155555555555555891e-01,2.090081572532653809e-02
2.888888888888888756e-02,3.777777777777777679e-01,3.577777777777778057e-01,2.367121167480945587e-02
2.888888888888888756e-02,3.777777777777777679e-01,4.000000000000000222e-01,2.669170126318931580e-02
2.888888888888888756e-02,4.333333333333333481e-01,2.000000000000000042e-02,-2.324604615569114685e-02
2.888888888888888756e-02,4.333333333333333481e-01,6.222222222222222043e-02,6.761573255062103271e-02
2.888888888888888756e-02,4.333333333333333481e-01,1.044444444444444509e-01,2.018599770963191986e-02
2.888888888888888756e-02,4.333333333333333481e-01,1.466666666666666674e-01,-2.136775059625506401e-03
2.888888888888888756e-02,4.333333333333333481e-01,1.888888888888888840e-01,1.303127873688936234e-02
2.888888888888888756e-02,4.333333333333333481e-01,2.311111111111111005e-01,1.597478054463863373e-02
2.888888888888888756e-02,4.333333333333333481e-01,2.733333333333333726e-01,1.850574091076850891e-02
2.888888888888888756e-02,4.333333333333333481e-01,3.155555555555555891e-01,2.041196450591087341e-02
2.888888888888888756e-02,4.333333333333333481e-01,3.577777777777778057e-01,2.236231975257396698e-02
2.888888888888888756e-02,4.333333333333333481e-01,4.000000000000000222e-01,2.536300756037235260e-02
2.888888888888888756e-02,4.888888888888888173e-01,2.000000000000000042e-02,6.012842431664466858e-02
2.888888888888888756e-02,4.888888888888888173e-01,6.222222222222222043e-02,7.350423187017440796e-02
2.888888888888888756e-02,4.888888888888888173e-01,1.044444444444444509e-01,1.997181586921215057e-02
2.888888888888888756e-02,4.888888888888888173e-01,1.466666666666666674e-01,-5.558792967349290848e-03
2.888888888888888756e-02,4.888888888888888173e-01,1.888888888888888840e-01,1.233378425240516663e-02
2.888888888888888756e-02,4.888888888888888173e-01,2.311111111111111005e-01,1.495673507452011108e-02
2.888888888888888756e-02,4.888888888888888173e-01,2.733333333333333726e-01,1.791014708578586578e-02
2.888888888888888756e-02,4.888888888888888173e-01,3.155555555555555891e-01,2.000213786959648132e-02
2.888888888888888756e-02,4.888888888888888173e-01,3.577777777777778057e-01,2.176380157470703125e-02
2.888888888888888756e-02,4.888888888888888173e-01,4.000000000000000222e-01,2.406681515276432037e-02
2.888888888888888756e-02,5.444444444444443976e-01,2.000000000000000042e-02,-1.410845294594764709e-02
2.888888888888888756e-02,5.444444444444443976e-01,6.222222222222222043e-02,8.715794235467910767e-02
2.888888888888888756e-02,5.444444444444443976e-01,1.044444444444444509e-01,1.935999095439910889e-02
2.888888888888888756e-02,5.444444444444443976e-01,1.466666666666666674e-01,-7.394941989332437515e-03
2.888888888888888756e-02,5.444444444444443976e-01,1.888888888888888840e-01,1.042752247303724289e-02
2.888888888888888756e-02,5.444444444444443976e-01,2.311111111111111005e-01,1.414645370095968246e-02
2.888888888888888756e-02,5.444444444444443976e-01,2.733333333333333726e-01,1.654565893113613129e-02
2.888888888888888756e-02,5.444444444444443976e-01,3.155555555555555891e-01,1.976381801068782806e-02
2.888888888888888756e-02,5.444444444444443976e-01,3.577777777777778057e-01,2.135985530912876129e-02
2.888888888888888756e-02,5.444444444444443976e-01,4.000000000000000222e-01,2.340640686452388763e-02
2.888888888888888756e-02,5.999999999999999778e-01,2.000000000000000042e-02,-1.437342632561922073e-02
2.888888888888888756e-02,5.999999999999999778e-01,6.222222222222222043e-02,1.340554505586624146e-01
2.888888888888888756e-02,5.999999999999999778e-01,1.044444444444444509e-01,1.499473676085472107e-02
2.888888888888888756e-02,5.999999999999999778e-01,1.466666666666666674e-01,-7.170620374381542206e-03
