# m,p,t,C_l,obj
0.000000000000000000e+00,2.000000000000000111e-01,1.000000000000000056e-01,-1.999999949475750327e-04,1.000400066375732422e+00
0.000000000000000000e+00,2.000000000000000111e-01,1.750000000000000167e-01,0.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000111e-01,2.500000000000000000e-01,-9.999999747378751636e-05,1.000200033187866211e+00
0.000000000000000000e+00,2.000000000000000111e-01,3.250000000000000666e-01,-0.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000111e-01,4.000000000000000222e-01,0.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,3.750000000000000000e-01,1.000000000000000056e-01,-1.999999949475750327e-04,1.000400066375732422e+00
0.000000000000000000e+00,3.750000000000000000e-01,1.750000000000000167e-01,0.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,3.750000000000000000e-01,2.500000000000000000e-01,-9.999999747378751636e-05,1.000200033187866211e+00
0.000000000000000000e+00,3.750000000000000000e-01,3.250000000000000666e-01,-0.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,3.750000000000000000e-01,4.000000000000000222e-01,0.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,5.500000000000000444e-01,1.000000000000000056e-01,-1.999999949475750327e-04,1.000400066375732422e+00
0.000000000000000000e+00,5.500000000000000444e-01,1.750000000000000167e-01,0.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,5.500000000000000444e-01,2.500000000000000000e-01,-9.999999747378751636e-05,1.000200033187866211e+00
0.000000000000000000e+00,5.500000000000000444e-01,3.250000000000000666e-01,-0.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,5.500000000000000444e-01,4.000000000000000222e-01,0.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,7.249999999999998668e-01,1.000000000000000056e-01,-1.999999949475750327e-04,1.000400066375732422e+00
0.000000000000000000e+00,7.249999999999998668e-01,1.750000000000000167e-01,0.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,7.249999999999998668e-01,2.500000000000000000e-01,-9.999999747378751636e-05,1.000200033187866211e+00
0.000000000000000000e+00,7.249999999999998668e-01,3.250000000000000666e-01,-0.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,7.249999999999998668e-01,4.000000000000000222e-01,0.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,9.000000000000000222e-01,1.000000000000000056e-01,-1.999999949475750327e-04,1.000400066375732422e+00
0.000000000000000000e+00,9.000000000000000222e-01,1.750000000000000167e-01,0.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,9.000000000000000222e-01,2.500000000000000000e-01,-9.999999747378751636e-05,1.000200033187866211e+00
0.000000000000000000e+00,9.000000000000000222e-01,3.250000000000000666e-01,-0.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,9.000000000000000222e-01,4.000000000000000222e-01,0.000000000000000000e+00,1.000000000000000000e+00
2.375000000000000028e-02,2.000000000000000111e-01,1.000000000000000056e-01,2.642000019550323486e-01,5.414016246795654297e-01
2.375000000000000028e-02,2.000000000000000111e-01,1.750000000000000167e-01,2.885999977588653564e-01,5.060899853706359863e-01
2.375000000000000028e-02,2.000000000000000111e-01,2.500000000000000000e-01,3.142000138759613037e-01,4.703216254711151123e-01
2.375000000000000028e-02,2.000000000000000111e-01,3.250000000000000666e-01,3.407000005245208740e-01,4.346764981746673584e-01
2.375000000000000028e-02,2.000000000000000111e-01,4.000000000000000222e-01,3.679000139236450195e-01,3.995504081249237061e-01
2.375000000000000028e-02,3.750000000000000000e-01,1.000000000000000056e-01,2.958999872207641602e-01,4.957568049430847168e-01
2.375000000000000028e-02,3.750000000000000000e-01,1.750000000000000167e-01,3.203000128269195557e-01,4.619920849800109863e-01
2.375000000000000028e-02,3.750000000000000000e-01,2.500000000000000000e-01,3.472000062465667725e-01,4.261478483676910400e-01
2.375000000000000028e-02,3.750000000000000000e-01,3.250000000000000666e-01,3.738999962806701660e-01,3.920012116432189941e-01
2.375000000000000028e-02,3.750000000000000000e-01,4.000000000000000222e-01,4.020999968051910400e-01,3.574844002723693848e-01
2.375000000000000028e-02,5.500000000000000444e-01,1.000000000000000056e-01,3.490999937057495117e-01,4.236707985401153564e-01
2.375000000000000028e-02,5.500000000000000444e-01,1.750000000000000167e-01,3.756000101566314697e-01,3.898753523826599121e-01
2.375000000000000028e-02,5.500000000000000444e-01,2.500000000000000000e-01,4.025999903678894043e-01,3.568867743015289307e-01
2.375000000000000028e-02,5.500000000000000444e-01,3.250000000000000666e-01,4.302000105381011963e-01,3.246720433235168457e-01
2.375000000000000028e-02,5.500000000000000444e-01,4.000000000000000222e-01,4.571999907493591309e-01,2.946318387985229492e-01
2.375000000000000028e-02,7.249999999999998668e-01,1.000000000000000056e-01,4.519999921321868896e-01,3.003039956092834473e-01
2.375000000000000028e-02,7.249999999999998668e-01,1.750000000000000167e-01,4.812999963760375977e-01,2.690497040748596191e-01
2.375000000000000028e-02,7.249999999999998668e-01,2.500000000000000000e-01,5.102000236511230469e-01,2.399040460586547852e-01
2.375000000000000028e-02,7.249999999999998668e-01,3.250000000000000666e-01,5.386999845504760742e-01,2.127976864576339722e-01
2.375000000000000028e-02,7.249999999999998668e-01,4.000000000000000222e-01,5.659000277519226074e-01,1.884428113698959351e-01
