# m,p,t,C_l,obj
0.000000000000000000e+00,8.222222222222221877e-01,2.333333333333333648e-01,1.307500004768371582e+00,4.795562624931335449e-01
0.000000000000000000e+00,8.222222222222221877e-01,2.666666666666667185e-01,1.339300036430358887e+00,4.365244805812835693e-01
0.000000000000000000e+00,8.222222222222221877e-01,3.000000000000000444e-01,1.371000051498413086e+00,3.956409990787506104e-01
0.000000000000000000e+00,8.222222222222221877e-01,3.333333333333333703e-01,1.402799963951110840e+00,3.566478490829467773e-01
0.000000000000000000e+00,8.222222222222221877e-01,3.666666666666666963e-01,1.435099959373474121e+00,3.191120028495788574e-01
0.000000000000000000e+00,8.222222222222221877e-01,4.000000000000000222e-01,1.467399954795837402e+00,2.836627662181854248e-01
0.000000000000000000e+00,9.000000000000000222e-01,1.000000000000000056e-01,1.181100010871887207e+00,6.705971956253051758e-01
0.000000000000000000e+00,9.000000000000000222e-01,1.333333333333333592e-01,1.213999986648559570e+00,6.177960038185119629e-01
0.000000000000000000e+00,9.000000000000000222e-01,1.666666666666666852e-01,1.245100021362304688e+00,5.698739886283874512e-01
0.000000000000000000e+00,9.000000000000000222e-01,2.000000000000000111e-01,1.276100039482116699e+00,5.240312218666076660e-01
0.000000000000000000e+00,9.000000000000000222e-01,2.333333333333333648e-01,1.307500004768371582e+00,4.795562624931335449e-01
0.000000000000000000e+00,9.000000000000000222e-01,2.666666666666667185e-01,1.339300036430358887e+00,4.365244805812835693e-01
0.000000000000000000e+00,9.000000000000000222e-01,3.000000000000000444e-01,1.371000051498413086e+00,3.956409990787506104e-01
0.000000000000000000e+00,9.000000000000000222e-01,3.333333333333333703e-01,1.402799963951110840e+00,3.566478490829467773e-01
0.000000000000000000e+00,9.000000000000000222e-01,3.666666666666666963e-01,1.435099959373474121e+00,3.191120028495788574e-01
0.000000000000000000e+00,9.000000000000000222e-01,4.000000000000000222e-01,1.467399954795837402e+00,2.836627662181854248e-01
1.055555555555555587e-02,2.000000000000000111e-01,1.000000000000000056e-01,1.298599958419799805e+00,4.919619560241699219e-01
1.055555555555555587e-02,2.000000000000000111e-01,1.333333333333333592e-01,1.334200024604797363e+00,4.432896375656127930e-01
1.055555555555555587e-02,2.000000000000000111e-01,1.666666666666666852e-01,1.369799971580505371e+00,3.971520364284515381e-01
1.055555555555555587e-02,2.000000000000000111e-01,2.000000000000000111e-01,1.406599998474121094e+00,3.521235585212707520e-01
1.055555555555555587e-02,2.000000000000000111e-01,2.333333333333333648e-01,1.442700028419494629e+00,3.105832934379577637e-01
1.055555555555555587e-02,2.000000000000000111e-01,2.666666666666667185e-01,1.479500055313110352e+00,2.709202468395233154e-01
1.055555555555555587e-02,2.000000000000000111e-01,3.000000000000000444e-01,1.516700029373168945e+00,2.335788905620574951e-01
1.055555555555555587e-02,2.000000000000000111e-01,3.333333333333333703e-01,1.553500056266784668e+00,1.993622481822967529e-01
1.055555555555555587e-02,2.000000000000000111e-01,3.666666666666666963e-01,1.590999960899353027e+00,1.672810018062591553e-01
1.055555555555555587e-02,2.000000000000000111e-01,4.000000000000000222e-01,1.628399968147277832e+00,1.380865573883056641e-01
1.055555555555555587e-02,2.777777777777777901e-01,1.000000000000000056e-01,1.303400039672851562e+00,4.852515459060668945e-01
1.055555555555555587e-02,2.777777777777777901e-01,1.333333333333333592e-01,1.339200019836425781e+00,4.366566538810729980e-01
1.055555555555555587e-02,2.777777777777777901e-01,1.666666666666666852e-01,1.375100016593933105e+00,3.905000090599060059e-01
1.055555555555555587e-02,2.777777777777777901e-01,2.000000000000000111e-01,1.411700010299682617e+00,3.460969030857086182e-01
1.055555555555555587e-02,2.777777777777777901e-01,2.333333333333333648e-01,1.448199987411499023e+00,3.044832348823547363e-01
1.055555555555555587e-02,2.777777777777777901e-01,2.666666666666667185e-01,1.484899997711181641e+00,2.653280198574066162e-01
1.055555555555555587e-02,2.777777777777777901e-01,3.000000000000000444e-01,1.521900057792663574e+00,2.285796105861663818e-01
1.055555555555555587e-02,2.777777777777777901e-01,3.333333333333333703e-01,1.558899998664855957e+00,1.945692151784896851e-01
1.055555555555555587e-02,2.777777777777777901e-01,3.666666666666666963e-01,1.596799969673156738e+00,1.625702381134033203e-01
1.055555555555555587e-02,2.777777777777777901e-01,4.000000000000000222e-01,1.634500026702880859e+00,1.335902512073516846e-01
1.055555555555555587e-02,3.555555555555555691e-01,1.000000000000000056e-01,1.310199975967407227e+00,4.758240282535552979e-01
1.055555555555555587e-02,3.555555555555555691e-01,1.333333333333333592e-01,1.346300005912780762e+00,4.273236989974975586e-01
1.055555555555555587e-02,3.555555555555555691e-01,1.666666666666666852e-01,1.382400035858154297e+00,3.814297616481781006e-01
1.055555555555555587e-02,3.555555555555555691e-01,2.000000000000000111e-01,1.418099999427795410e+00,3.386076092720031738e-01
1.055555555555555587e-02,3.555555555555555691e-01,2.333333333333333648e-01,1.455000042915344238e+00,2.970249950885772705e-01
1.055555555555555587e-02,3.555555555555555691e-01,2.666666666666667185e-01,1.491799950599670410e+00,2.582672536373138428e-01
1.055555555555555587e-02,3.555555555555555691e-01,3.000000000000000444e-01,1.528599977493286133e+00,2.222179621458053589e-01
1.055555555555555587e-02,3.555555555555555691e-01,3.333333333333333703e-01,1.566100001335144043e+00,1.882692128419876099e-01
1.055555555555555587e-02,3.555555555555555691e-01,3.666666666666666963e-01,1.603399991989135742e+00,1.572915613651275635e-01
1.055555555555555587e-02,3.555555555555555691e-01,4.000000000000000222e-01,1.641700029373168945e+00,1.283788830041885376e-01
1.055555555555555587e-02,4.333333333333333481e-01,1.000000000000000056e-01,1.318799972534179688e+00,4.640334546566009521e-01
1.055555555555555587e-02,4.333333333333333481e-01,1.333333333333333592e-01,1.354900002479553223e+00,4.161539971828460693e-01
1.055555555555555587e-02,4.333333333333333481e-01,1.666666666666666852e-01,1.390100002288818359e+00,3.719780147075653076e-01
1.055555555555555587e-02,4.333333333333333481e-01,2.000000000000000111e-01,1.427299976348876953e+00,3.279852867126464844e-01
1.055555555555555587e-02,4.333333333333333481e-01,2.333333333333333648e-01,1.463899970054626465e+00,2.874031960964202881e-01
1.055555555555555587e-02,4.333333333333333481e-01,2.666666666666667185e-01,1.499899983406066895e+00,2.501000165939331055e-01
1.055555555555555587e-02,4.333333333333333481e-01,3.000000000000000444e-01,1.537899971008300781e+00,2.135364115238189697e-01
1.055555555555555587e-02,4.333333333333333481e-01,3.333333333333333703e-01,1.574599981307983398e+00,1.809651553630828857e-01
1.055555555555555587e-02,4.333333333333333481e-01,3.666666666666666963e-01,1.612400054931640625e+00,1.502337604761123657e-01
1.055555555555555587e-02,4.333333333333333481e-01,4.000000000000000222e-01,1.650400042533874512e+00,1.222201585769653320e-01
1.055555555555555587e-02,5.111111111111110716e-01,1.000000000000000056e-01,1.330999970436096191e+00,4.475609958171844482e-01
1.055555555555555587e-02,5.111111111111110716e-01,1.333333333333333592e-01,1.365599989891052246e+00,4.024633467197418213e-01
1.055555555555555587e-02,5.111111111111110716e-01,1.666666666666666852e-01,1.401200056076049805e+00,3.585614264011383057e-01
1.055555555555555587e-02,5.111111111111110716e-01,2.000000000000000111e-01,1.437800049781799316e+00,3.160688281059265137e-01
1.055555555555555587e-02,5.111111111111110716e-01,2.333333333333333648e-01,1.474499940872192383e+00,2.761502563953399658e-01
1.055555555555555587e-02,5.111111111111110716e-01,2.666666666666667185e-01,1.511399984359741211e+00,2.387299537658691406e-01
1.055555555555555587e-02,5.111111111111110716e-01,3.000000000000000444e-01,1.548300027847290039e+00,2.040328830480575562e-01
1.055555555555555587e-02,5.111111111111110716e-01,3.333333333333333703e-01,1.585600018501281738e+00,1.717273592948913574e-01
1.055555555555555587e-02,5.111111111111110716e-01,3.666666666666666963e-01,1.623499989509582520e+00,1.417522430419921875e-01
1.055555555555555587e-02,5.111111111111110716e-01,4.000000000000000222e-01,1.661200046539306641e+00,1.147854402661323547e-01
1.055555555555555587e-02,5.888888888888889062e-01,1.000000000000000056e-01,1.343899965286254883e+00,4.304672181606292725e-01
1.055555555555555587e-02,5.888888888888889062e-01,1.333333333333333592e-01,1.379099965095520020e+00,3.855168223381042480e-01
1.055555555555555587e-02,5.888888888888889062e-01,1.666666666666666852e-01,1.415699958801269531e+00,3.414064943790435791e-01
1.055555555555555587e-02,5.888888888888889062e-01,2.000000000000000111e-01,1.452200055122375488e+00,3.000848293304443359e-01
