# m,p,t,C_l
9.500000000000000111e-02,9.000000000000000222e-01,4.000000000000000222e-01,-9.852495044469833374e-02
9.500000000000000111e-02,9.000000000000000222e-01,3.721428571428571641e-01,-6.126440316438674927e-02
9.500000000000000111e-02,9.000000000000000222e-01,3.442857142857143060e-01,-3.996017947793006897e-02
9.500000000000000111e-02,9.000000000000000222e-01,3.164285714285714479e-01,5.205265479162335396e-04
9.500000000000000111e-02,9.000000000000000222e-01,2.885714285714285898e-01,4.759389534592628479e-02
9.500000000000000111e-02,9.000000000000000222e-01,2.607142857142857317e-01,6.724447011947631836e-02
9.500000000000000111e-02,9.000000000000000222e-01,2.328571428571428736e-01,6.292869895696640015e-02
9.500000000000000111e-02,9.000000000000000222e-01,2.050000000000000155e-01,9.551492333412170410e-01
9.500000000000000111e-02,9.000000000000000222e-01,1.771428571428571574e-01,-1.401316076517105103e-01
9.500000000000000111e-02,9.000000000000000222e-01,1.492857142857142994e-01,6.240002438426017761e-02
9.500000000000000111e-02,9.000000000000000222e-01,1.214285714285714274e-01,1.020914018154144287e-01
9.500000000000000111e-02,9.000000000000000222e-01,9.357142857142856929e-02,5.663478001952171326e-02
9.500000000000000111e-02,9.000000000000000222e-01,6.571428571428571119e-02,3.995950147509574890e-02
9.500000000000000111e-02,9.000000000000000222e-01,3.785714285714286004e-02,3.051898442208766937e-02
9.500000000000000111e-02,9.000000000000000222e-01,1.000000000000000021e-02,-8.538912050426006317e-03
9.500000000000000111e-02,8.357142857142858539e-01,4.000000000000000222e-01,-1.756389588117599487e-01
9.500000000000000111e-02,8.357142857142858539e-01,3.721428571428571641e-01,-1.582047939300537109e-01
9.500000000000000111e-02,8.357142857142858539e-01,3.442857142857143060e-01,-1.460264772176742554e-01
9.500000000000000111e-02,8.357142857142858539e-01,3.164285714285714479e-01,-6.716223806142807007e-02
9.500000000000000111e-02,8.357142857142858539e-01,2.885714285714285898e-01,1.625977456569671631e-02
9.500000000000000111e-02,8.357142857142858539e-01,2.607142857142857317e-01,5.575840920209884644e-02
9.500000000000000111e-02,8.357142857142858539e-01,2.328571428571428736e-01,6.450512260198593140e-02
9.500000000000000111e-02,8.357142857142858539e-01,2.050000000000000155e-01,2.412718161940574646e-02
9.500000000000000111e-02,8.357142857142858539e-01,1.771428571428571574e-01,1.817799657583236694e-01
9.500000000000000111e-02,8.357142857142858539e-01,1.492857142857142994e-01,5.438473448157310486e-02
9.500000000000000111e-02,8.357142857142858539e-01,1.214285714285714274e-01,-1.107697129249572754e+00
9.500000000000000111e-02,8.357142857142858539e-01,9.357142857142856929e-02,2.933647297322750092e-02
9.500000000000000111e-02,8.357142857142858539e-01,6.571428571428571119e-02,6.149751693010330200e-02
9.500000000000000111e-02,8.357142857142858539e-01,3.785714285714286004e-02,2.194696478545665741e-02
9.500000000000000111e-02,8.357142857142858539e-01,1.000000000000000021e-02,-8.992955088615417480e-03
9.500000000000000111e-02,7.714285714285715745e-01,4.000000000000000222e-01,-1.886902749538421631e-01
9.500000000000000111e-02,7.714285714285715745e-01,3.721428571428571641e-01,-3.376352488994598389e-01
9.500000000000000111e-02,7.714285714285715745e-01,3.442857142857143060e-01,-2.694821655750274658e-01
9.500000000000000111e-02,7.714285714285715745e-01,3.164285714285714479e-01,-2.060555070638656616e-01
9.500000000000000111e-02,7.714285714285715745e-01,2.885714285714285898e-01,-5.806846544146537781e-02
9.500000000000000111e-02,7.714285714285715745e-01,2.607142857142857317e-01,2.152496017515659332e-02
9.500000000000000111e-02,7.714285714285715745e-01,2.328571428571428736e-01,5.133905634284019470e-02
9.500000000000000111e-02,7.714285714285715745e-01,2.050000000000000155e-01,4.542068764567375183e-02
9.500000000000000111e-02,7.714285714285715745e-01,1.771428571428571574e-01,1.669839471578598022e-01
9.500000000000000111e-02,7.714285714285715745e-01,1.492857142857142994e-01,-3.747199103236198425e-02
9.500000000000000111e-02,7.714285714285715745e-01,1.214285714285714274e-01,4.846333712339401245e-02
9.500000000000000111e-02,7.714285714285715745e-01,9.357142857142856929e-02,7.454264909029006958e-02
9.500000000000000111e-02,7.714285714285715745e-01,6.571428571428571119e-02,5.093071982264518738e-02
9.500000000000000111e-02,7.714285714285715745e-01,3.785714285714286004e-02,3.030586428940296173e-02
9.500000000000000111e-02,7.714285714285715745e-01,1.000000000000000021e-02,-8.570550009608268738e-03
9.500000000000000111e-02,7.071428571428571841e-01,4.000000000000000222e-01,-5.685563683509826660e-01
9.500000000000000111e-02,7.071428571428571841e-01,3.721428571428571641e-01,-5.729414820671081543e-01
9.500000000000000111e-02,7.071428571428571841e-01,3.442857142857143060e-01,-6.331822276115417480e-01
9.500000000000000111e-02,7.071428571428571841e-01,3.164285714285714479e-01,-4.369506239891052246e-01
9.500000000000000111e-02,7.071428571428571841e-01,2.885714285714285898e-01,-2.621769905090332031e-01
9.500000000000000111e-02,7.071428571428571841e-01,2.607142857142857317e-01,-1.485527865588665009e-02
9.500000000000000111e-02,7.071428571428571841e-01,2.328571428571428736e-01,1.986055448651313782e-02
9.500000000000000111e-02,7.071428571428571841e-01,2.050000000000000155e-01,3.780563920736312866e-02
9.500000000000000111e-02,7.071428571428571841e-01,1.771428571428571574e-01,-3.023155927658081055e+00
9.500000000000000111e-02,7.071428571428571841e-01,1.492857142857142994e-01,1.394485235214233398e-01
9.500000000000000111e-02,7.071428571428571841e-01,1.214285714285714274e-01,4.120682552456855774e-02
9.500000000000000111e-02,7.071428571428571841e-01,9.357142857142856929e-02,6.970725953578948975e-02
9.500000000000000111e-02,7.071428571428571841e-01,6.571428571428571119e-02,5.570251867175102234e-02
9.500000000000000111e-02,7.071428571428571841e-01,3.785714285714286004e-02,4.413929954171180725e-02
9.500000000000000111e-02,7.071428571428571841e-01,1.000000000000000021e-02,-8.680904284119606018e-03
9.500000000000000111e-02,6.428571428571429047e-01,4.000000000000000222e-01,-8.893176317214965820e-01
9.500000000000000111e-02,6.428571428571429047e-01,3.721428571428571641e-01,-4.629769548773765564e-02
9.500000000000000111e-02,6.428571428571429047e-01,3.442857142857143060e-01,-1.245118379592895508e+00
9.500000000000000111e-02,6.428571428571429047e-01,3.164285714285714479e-01,-1.450443625450134277e+00
9.500000000000000111e-02,6.428571428571429047e-01,2.885714285714285898e-01,-6.594380736351013184e-01
9.500000000000000111e-02,6.428571428571429047e-01,2.607142857142857317e-01,-2.949685752391815186e-01
9.500000000000000111e-02,6.428571428571429047e-01,2.328571428571428736e-01,-5.518482625484466553e-02
9.500000000000000111e-02,6.428571428571429047e-01,2.050000000000000155e-01,1.110777352005243301e-02
9.500000000000000111e-02,6.428571428571429047e-01,1.771428571428571574e-01,-4.244623333215713501e-02
9.500000000000000111e-02,6.428571428571429047e-01,1.492857142857142994e-01,1.252125054597854614e-01
9.500000000000000111e-02,6.428571428571429047e-01,1.214285714285714274e-01,-1.087951380759477615e-02
9.500000000000000111e-02,6.428571428571429047e-01,9.357142857142856929e-02,7.439300417900085449e-02
9.500000000000000111e-02,6.428571428571429047e-01,6.571428571428571119e-02,7.765898108482360840e-02
9.500000000000000111e-02,6.428571428571429047e-01,3.785714285714286004e-02,3.981313109397888184e-02
9.500000000000000111e-02,6.428571428571429047e-01,1.000000000000000021e-02,-3.951333928853273392e-03
9.500000000000000111e-02,5.785714285714286254e-01,4.000000000000000222e-01,-3.222881257534027100e-01
9.500000000000000111e-02,5.785714285714286254e-01,3.721428571428571641e-01,-1.752084612846374512e+00
9.500000000000000111e-02,5.785714285714286254e-01,3.442857142857143060e-01,-1.109822094440460205e-01
9.500000000000000111e-02,5.785714285714286254e-01,3.164285714285714479e-01,-7.880580902099609375e+00
9.500000000000000111e-02,5.785714285714286254e-01,2.885714285714285898e-01,-1.548327789306640625e+02
9.500000000000000111e-02,5.785714285714286254e-01,2.607142857142857317e-01,-7.296949625015258789e-01
9.500000000000000111e-02,5.785714285714286254e-01,2.328571428571428736e-01,-2.882061600685119629e-01
9.500000000000000111e-02,5.785714285714286254e-01,2.050000000000000155e-01,-5.484751984477043152e-02
9.500000000000000111e-02,5.785714285714286254e-01,1.771428571428571574e-01,-4.166896641254425049e-02
9.500000000000000111e-02,5.785714285714286254e-01,1.492857142857142994e-01,1.493048220872879028e-01
9.500000000000000111e-02,5.785714285714286254e-01,1.214285714285714274e-01,2.979344725608825684e-01
9.500000000000000111e-02,5.785714285714286254e-01,9.357142857142856929e-02,9.403043985366821289e-02
9.500000000000000111e-02,5.785714285714286254e-01,6.571428571428571119e-02,1.019254088401794434e+00
9.500000000000000111e-02,5.785714285714286254e-01,3.785714285714286004e-02,4.092873632907867432e-02
9.500000000000000111e-02,5.785714285714286254e-01,1.000000000000000021e-02,5.406296811997890472e-03
9.500000000000000111e-02,5.142857142857143460e-01,4.000000000000000222e-01,-5.919797345995903015e-02
9.500000000000000111e-02,5.142857142857143460e-01,3.721428571428571641e-01,-3.721217632293701172e+00
9.500000000000000111e-02,5.142857142857143460e-01,3.442857142857143060e-01,-1.943271827697753906e+01
9.500000000000000111e-02,5.142857142857143460e-01,3.164285714285714479e-01,-6.794307231903076172e-01
9.500000000000000111e-02,5.142857142857143460e-01,2.885714285714285898e-01,1.982584595680236816e+00
9.500000000000000111e-02,5.142857142857143460e-01,2.607142857142857317e-01,1.726844787597656250e+00
9.500000000000000111e-02,5.142857142857143460e-01,2.328571428571428736e-01,-4.718118309974670410e-01
9.500000000000000111e-02,5.142857142857143460e-01,2.050000000000000155e-01,-2.731192708015441895e-01
9.500000000000000111e-02,5.142857142857143460e-01,1.771428571428571574e-01,-1.114830970764160156e-01
9.500000000000000111e-02,5.142857142857143460e-01,1.492857142857142994e-01,2.291587889194488525e-01
9.500000000000000111e-02,5.142857142857143460e-01,1.214285714285714274e-01,1.523383855819702148e-01
9.500000000000000111e-02,5.142857142857143460e-01,9.357142857142856929e-02,1.557233929634094238e-01
9.500000000000000111e-02,5.142857142857143460e-01,6.571428571428571119e-02,1.407020539045333862e-01
9.500000000000000111e-02,5.142857142857143460e-01,3.785714285714286004e-02,4.247054830193519592e-02
9.500000000000000111e-02,5.142857142857143460e-01,1.000000000000000021e-02,3.695729002356529236e-02
9.500000000000000111e-02,4.500000000000000666e-01,4.000000000000000222e-01,-4.696838930249214172e-02
9.500000000000000111e-02,4.500000000000000666e-01,3.721428571428571641e-01,-3.563957214355468750e+01
9.500000000000000111e-02,4.500000000000000666e-01,3.442857142857143060e-01,5.128409385681152344e+00
9.500000000000000111e-02,4.500000000000000666e-01,3.164285714285714479e-01,-1.220314428210258484e-01
9.500000000000000111e-02,4.500000000000000666e-01,2.885714285714285898e-01,9.708536267280578613e-01
9.500000000000000111e-02,4.500000000000000666e-01,2.607142857142857317e-01,8.954957127571105957e-01
9.500000000000000111e-02,4.500000000000000666e-01,2.328571428571428736e-01,8.875790238380432129e-01
9.500000000000000111e-02,4.500000000000000666e-01,2.050000000000000155e-01,1.116267681121826172e+01
9.500000000000000111e-02,4.500000000000000666e-01,1.771428571428571574e-01,-2.764585912227630615e-01
9.500000000000000111e-02,4.500000000000000666e-01,1.492857142857142994e-01,3.736379146575927734e-01
9.500000000000000111e-02,4.500000000000000666e-01,1.214285714285714274e-01,1.413959115743637085e-01
9.500000000000000111e-02,4.500000000000000666e-01,9.357142857142856929e-02,2.256010919809341431e-01
9.500000000000000111e-02,4.500000000000000666e-01,6.571428571428571119e-02,9.060224145650863647e-02
9.500000000000000111e-02,4.500000000000000666e-01,3.785714285714286004e-02,4.391529038548469543e-02
9.500000000000000111e-02,4.500000000000000666e-01,1.000000000000000021e-02,7.670048624277114868e-03
9.500000000000000111e-02,3.857142857142857872e-01,4.000000000000000222e-01,-1.206691265106201172e-01
9.500000000000000111e-02,3.857142857142857872e-01,3.721428571428571641e-01,6.654212474822998047e+00
9.500000000000000111e-02,3.857142857142857872e-01,3.442857142857143060e-01,-6.671541929244995117e-02
